Code,Region,Name,A&E attendances - Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,"A&E attendances less than 4 hours from arrival to admission, transfer or discharge - Type 1 Departments - Major A&E",Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,"A&E attendances greater than 4 hours from arrival to admission, transfer or discharge - Type 1 Departments - Major A&E",Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage of attendances within 4 hours - Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions - Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
-,-,England,4210906,154336,147839,6497,2503776,2435648,68128,6869018,2540516,154336,147839,6497,2503776,2435648,68128,5124003,1670390,154336,147839,6497,2503776,2435648,68128,1745015,0.7459585926256126,0.6033181457862037,0.9579035351441012,0.9727898981378525,1153565,4103,16209,1173877,419166,1593043,417249,172831
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,50324,0,0,0,28381,28381,0,78705,32780,0,0,0,28381,28381,0,61161,17544,0,0,0,28381,28381,0,17544,0.7770916714312941,0.651379063667435,-,1,15845,0,0,15845,7245,23090,414,172
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,34159,0,0,0,16353,16016,337,50512,19111,0,0,0,16353,16016,337,35127,15048,0,0,0,16353,16016,337,15385,0.6954189103579348,0.55947188149536,-,0.9793921604598544,8597,0,95,8692,1258,9950,3267,1691
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,27518,0,0,0,24885,24637,248,52403,12460,0,0,0,24885,24637,248,37097,15058,0,0,0,24885,24637,248,15306,0.7079174856401351,0.4527945344865179,-,0.9900341571227648,6818,0,9,6827,775,7602,2112,608
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,33011,0,0,0,38588,35798,2790,71599,18382,0,0,0,38588,35798,2790,54180,14629,0,0,0,38588,35798,2790,17419,0.7567144792525036,0.5568446881342582,-,0.9276977298642065,14684,0,1,14685,840,15525,4176,1851
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,0,0,3284,3229,55,3284,0,0,0,0,3284,3229,55,3229,0,0,0,0,3284,3229,55,55,0.9832521315468941,-,-,0.9832521315468941,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,0,0,5877,5620,257,5877,0,0,0,0,5877,5620,257,5620,0,0,0,0,5877,5620,257,257,0.9562702058873574,-,-,0.9562702058873574,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,21699,0,0,0,4921,4921,0,26620,14169,0,0,0,4921,4921,0,19090,7530,0,0,0,4921,4921,0,7530,0.717129977460556,0.652979399972349,-,1,4757,0,0,4757,1444,6201,2755,1202
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,79070,0,0,0,23184,22081,1103,102254,45648,0,0,0,23184,22081,1103,67729,33422,0,0,0,23184,22081,1103,34525,0.6623603966592994,0.5773112432022258,-,0.9524240855762595,25043,0,351,25394,3489,28883,10098,2928
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,26137,0,0,0,17124,16741,383,43261,14571,0,0,0,17124,16741,383,31312,11566,0,0,0,17124,16741,383,11949,0.723792792584545,0.5574855568733978,-,0.9776337304368138,6980,0,0,6980,1304,8284,2145,0
