Org code - RF4,Region - London Commissioning Region,"Name - Barking, Havering and Redbridge University Hospitals NHS Trust",STP - NHS North East London Integrated Care Board,"STP.1 - Bath and North East Somerset, Swindon and Wiltshire STP",Code - QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board"
R1H,London Commissioning Region,Barts Health NHS Trust,NHS North East London Integrated Care Board,"Bedfordshire, Luton and Milton Keynes STP",QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD","NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board"
Y03082,London Commissioning Region,Harold Wood Walk In Centre,NHS North East London Integrated Care Board,Birmingham and Solihull STP,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NHS Birmingham And Solihull Integrated Care Board
RQX,London Commissioning Region,Homerton Healthcare NHS Foundation Trust,NHS North East London Integrated Care Board,"Bristol, North Somerset and South Gloucestershire STP",QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD","NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board"
RAT,London Commissioning Region,North East London NHS Foundation Trust,NHS North East London Integrated Care Board,"Buckinghamshire, Oxfordshire and Berkshire West STP",QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board"
Y02973,London Commissioning Region,Orchard Village Walk-In-Centre,NHS North East London Integrated Care Board,Cambridgeshire and Peterborough STP,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,NHS Cambridgeshire And Peterborough Integrated Care Board
Y03047,London Commissioning Region,St Andrews Walk-In Centre,NHS North East London Integrated Care Board,Cheshire and Merseyside STP,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,NHS Cheshire And Merseyside Integrated Care Board
F84747,London Commissioning Region,The Barkantine Practice,NHS North East London Integrated Care Board,Cornwall and The Isles of Scilly Health & Social Care Partnership (STP),QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,NHS Cornwall And The Isles Of Scilly Integrated Care Board
G0Q0L,London Commissioning Region,Barking Hospital UTC,NHS North East London Integrated Care Board,Coventry and Warwickshire STP,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,NHS Coventry And Warwickshire Integrated Care Board
K6K0R,London Commissioning Region,Harold Wood Polyclinic UTC,NHS North East London Integrated Care Board,Cumbria and North East STP,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NHS North East And North Cumbria Integrated Care Board
Y02696,London Commissioning Region,Edmonton Gp Walk In Centre,NHS North Central London Integrated Care Board,Devon STP,QJK,NHS DEVON INTEGRATED CARE BOARD,NHS Devon Integrated Care Board
